Product ID,Product Name Cleaned,Product Description,Price,Category,Sub-Category,stock
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","The Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",440.49,Furniture,Bookcases,1
OFF-PA-10000249,Easy-staple paper,"The Easy-staple paper is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",9.824,Office Supplies,Paper,5
TEC-PH-10004977,GE 30524EE4,"The GE 30524EE4 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",156.792,Technology,Phones,3
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","The #10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",12.592,Office Supplies,Envelopes,4
TEC-PH-10004093,Panasonic Kx-TS550,"The Panasonic Kx-TS550 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",36.792,Technology,Phones,0
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum","The Eldon Base for stackable storage shelf, platinum is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",38.94,Office Supplies,Storage,2
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","The Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",47.808,Office Supplies,Storage,4
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","The Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",22.99,Technology,Accessories,2
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","The Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",52.99,Office Supplies,Storage,3
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,"The Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",15.0,Technology,Accessories,5
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","The C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",6.37,Office Supplies,Binders,1
OFF-FA-10000304,Advantus Push Pins,"The Advantus Push Pins is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",2.18,Office Supplies,Fasteners,4
OFF-ST-10000604,Home/Office Personal File Carts,"The Home/Office Personal File Carts is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",34.76,Office Supplies,Storage,2
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","The Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",6.99,Technology,Accessories,4
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray","The Global Value Mid-Back Manager's Chair, Gray is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",42.623,Furniture,Chairs,0
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","The Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",139.128,Office Supplies,Art,4
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","The Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",37.94,Office Supplies,Paper,1
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,"The Avery Binding System Hidden Tab Executive Style Index Sets is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",4.616,Office Supplies,Binders,5
FUR-CH-10000513,High-Back Leather Manager's Chair,"The High-Back Leather Manager's Chair is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",103.992,Furniture,Chairs,5
OFF-BI-10004182,Economy Binders,"The Economy Binders is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",0.416,Office Supplies,Binders,1
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","The 1.7 Cubic Foot Compact ""Cube"" Office Refrigerators is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",208.16,Office Supplies,Appliances,5
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","The Premium Writing Pencils, Soft, #2 by Central Association for the Blind is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",2.98,Office Supplies,Art,5
OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,"The Jet-Pak Recycled Peel 'N' Seal Padded Mailers is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",28.712,Office Supplies,Envelopes,1
OFF-ST-10003656,Safco Industrial Wire Shelving,"The Safco Industrial Wire Shelving is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",76.792,Office Supplies,Storage,1
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,"The Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",19.99,Technology,Accessories,1
OFF-ST-10003442,Eldon Portable Mobile Manager,"The Eldon Portable Mobile Manager is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",0.0,Office Supplies,Storage,3
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,"The Turquoise Lead Holder with Pocket Clip is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",6.7,Office Supplies,Art,1
OFF-PA-10003177,Xerox 1999,"The Xerox 1999 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",6.48,Office Supplies,Paper,0
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,"The Flexible Leather- Look Classic Collection Ring Binder is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",5.682,Office Supplies,Binders,1
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,"The 9-3/4 Diameter Round Wall Clock is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",13.79,Furniture,Furnishings,3
OFF-BI-10001721,Trimflex Flexible Post Binders,"The Trimflex Flexible Post Binders is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",17.104,Office Supplies,Binders,4
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,"The Fellowes Basic Home/Office Series Surge Protectors is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",12.98,Office Supplies,Appliances,2
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,"The Avery Personal Creations Heavyweight Cards is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",9.232,Office Supplies,Paper,2
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),"The Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright) is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",5.98,Office Supplies,Paper,5
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,"The Logitech K350 2.4Ghz Wireless Keyboard is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",39.816,Technology,Accessories,5
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,"The Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",9.264,Technology,Accessories,3
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,"The Logitech Gaming G510s - Keyboard is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",67.992,Technology,Accessories,1
FUR-FU-10001934,Magnifier Swing Arm Lamp,"The Magnifier Swing Arm Lamp is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",20.98,Furniture,Furnishings,2
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue","The Hunt PowerHouse Electric Pencil Sharpener, Blue is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",37.98,Office Supplies,Art,0
OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes","The OIC Colored Binder Clips, Assorted Sizes is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",2.864,Office Supplies,Fasteners,5
FUR-TA-10001768,Hon Racetrack Conference Tables,"The Hon Racetrack Conference Tables is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",262.51,Furniture,Tables,5
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,"The GBC DocuBind 300 Electric Binding Machine is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",157.794,Office Supplies,Binders,0
FUR-FU-10002157,Artistic Insta-Plaque,"The Artistic Insta-Plaque is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",15.68,Furniture,Furnishings,5
FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,"The Global Deluxe High-Back Manager's Chair is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",200.186,Furniture,Chairs,0
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,"The Bevis 44 x 96 Conference Tables is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",102.95,Furniture,Tables,5
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels","The Avery Durable Slant Ring Binders, No Labels is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",1.194,Office Supplies,Binders,1
TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"The Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",11.994,Technology,Phones,0
OFF-PA-10001804,Xerox 195,"The Xerox 195 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",6.68,Office Supplies,Paper,5
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","The Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",41.4,Furniture,Furnishings,3
OFF-AR-10000940,Newell 343,"The Newell 343 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",2.94,Office Supplies,Art,4
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,"The Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",279.81,Office Supplies,Appliances,3
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock","The Seth Thomas 14"" Putty-Colored Wall Clock is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",23.472,Furniture,Furnishings,0
TEC-PH-10000215,Plantronics Cordless Phone Headset with In-line Volume - M214C,"The Plantronics Cordless Phone Headset with In-line Volume - M214C is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",34.95,Technology,Phones,4
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,"The Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",31.584,Office Supplies,Appliances,0
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,"The Southworth 25% Cotton Antique Laid Paper & Envelopes is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",8.34,Office Supplies,Paper,0
OFF-AR-10001547,Newell 311,"The Newell 311 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",2.21,Office Supplies,Art,0
OFF-LA-10002475,Avery 519,"The Avery 519 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",7.31,Office Supplies,Labels,0
OFF-PA-10002751,Xerox 1920,"The Xerox 1920 is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",5.98,Office Supplies,Paper,5
TEC-AC-10003657,Lenovo 17-Key USB Numeric Keypad,"The Lenovo 17-Key USB Numeric Keypad is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",27.192,Technology,Accessories,4
OFF-EN-10001990,Staple envelope,"The Staple envelope is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",5.68,Office Supplies,Envelopes,5
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,"The Wilson Jones International Size A4 Ring Binders is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",13.84,Office Supplies,Binders,1
OFF-AR-10004441,BIC Brite Liner Highlighters,"The BIC Brite Liner Highlighters is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",3.312,Office Supplies,Art,5
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6_x0094_ x 11_x0094_","The Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6_x0094_ x 11_x0094_ is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",6.98,Office Supplies,Paper,5
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,"The Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",26.224,Office Supplies,Appliances,0
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","The Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",24.316,Office Supplies,Appliances,5
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count","The Sanford Colorific Eraseable Coloring Pencils, 12 Count is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",3.28,Office Supplies,Art,4
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote with Lid, Black","The Tenex File Box, Personal Filing Tote with Lid, Black is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",12.408,Office Supplies,Storage,0
TEC-PH-10003273,AT&T TR1909W,"The AT&T TR1909W is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",125.99,Technology,Phones,4
OFF-BI-10001890,Avery Poly Binder Pockets,"The Avery Poly Binder Pockets is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",3.58,Office Supplies,Binders,3
TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,"The SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",22.1,Technology,Accessories,5
OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray","The Personal Filing Tote with Lid, Black/Gray is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",12.408,Office Supplies,Storage,5
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","The Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",224.784,Furniture,Bookcases,2
OFF-EN-10001509,Poly String Tie Envelopes,"The Poly String Tie Envelopes is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",2.04,Office Supplies,Envelopes,0
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","The Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",3.704,Office Supplies,Art,1
OFF-ST-10001414,Decoflex Hanging Personal Folder File,"The Decoflex Hanging Personal Folder File is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",15.42,Office Supplies,Storage,3
OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","The Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",1.473,Office Supplies,Binders,4
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,"The Southworth 25% Cotton Linen-Finish Paper & Envelopes is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",7.248,Office Supplies,Paper,1
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,"The BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",109.375,Furniture,Tables,5
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,"The Eureka Sanitaire  Commercial Upright is a high-quality product designed for both functionality and style. Perfect for home, office, or professional use, it offers durability and efficiency. Whether you need it for organization, decoration, or daily tasks, this product ensures reliability and performance.",33.142,Office Supplies,Appliances,0
