City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
418,3,3,1,15,65.88,6,0.0,18.4464
418,3,3,0,9,43.12,14,0.0,20.6976
374,36,1,0,9,82.8,2,0.2,10.35
438,3,3,1,2,8.82,3,0.0,2.3814
438,3,3,1,7,10.86,3,0.0,5.1042
438,3,3,1,12,143.7,3,0.0,68.976
210,23,0,1,1,839.43,3,0.0,218.2518
364,3,3,1,14,671.93,7,0.0,20.1579
330,33,1,0,9,93.888,4,0.2,12.9096
156,47,0,2,13,384.45,11,0.0,103.8015
156,47,0,2,13,149.97,3,0.0,5.9988
156,47,0,0,5,1951.84,8,0.0,585.552
156,47,0,1,3,171.55,5,0.0,80.6285
451,1,3,1,1,157.92,5,0.2,17.766
451,1,3,2,13,203.184,2,0.2,15.2388
440,3,3,1,12,58.38,7,0.0,26.271
440,3,3,1,12,105.52,4,0.0,48.5392
440,3,3,1,14,80.88,6,0.0,21.0288
452,45,3,1,2,6.63,3,0.0,1.7901
452,45,3,0,5,457.568,2,0.2,51.4764
134,34,0,1,10,14.62,2,0.0,6.8714
134,34,0,2,13,944.93,7,0.0,236.2325
266,3,3,1,12,5.98,1,0.0,2.691
374,36,1,2,0,54.384,2,0.2,1.3596
65,29,3,1,7,28.4,5,0.0,13.348
452,45,3,1,3,27.68,2,0.2,9.688
434,41,0,1,2,9.936,3,0.2,2.7324
434,41,0,2,11,8159.952,8,0.4,-1359.992
434,41,0,1,14,275.928,3,0.2,-58.6347
434,41,0,0,5,1740.06,9,0.3,-24.858
434,41,0,1,2,32.064,6,0.2,6.8136
434,41,0,1,1,177.98,5,0.8,-453.849
434,41,0,2,13,143.976,3,0.2,8.9985
266,3,3,1,12,20.94,3,0.0,9.8418
266,3,3,1,12,110.96,2,0.0,53.2608
266,3,3,0,5,340.144,7,0.2,21.259
80,11,0,1,1,52.448,2,0.8,-131.12
80,11,0,1,10,20.16,4,0.2,6.552
207,41,0,1,1,97.264,4,0.8,-243.16
330,33,1,0,5,396.802,7,0.3,-11.3372
330,33,1,1,15,15.88,5,0.2,-3.7715
329,30,1,1,2,3.28,1,0.0,1.4104
116,11,0,1,14,24.816,2,0.2,1.8612
116,11,0,2,0,408.744,7,0.2,76.6395
308,16,2,2,13,503.96,4,0.0,131.0296
308,16,2,2,13,149.95,5,0.0,41.986
308,16,2,2,0,29.0,2,0.0,7.25
147,5,1,1,3,7.16,2,0.0,3.4368
266,3,3,2,0,176.8,8,0.0,22.984
172,41,0,1,14,37.224,3,0.2,3.7224
172,41,0,1,12,20.016,3,0.2,6.255
329,30,1,0,4,899.136,4,0.2,112.392
329,30,1,2,13,71.76,6,0.0,20.0928
329,30,1,1,12,51.84,8,0.0,24.8832
329,30,1,0,4,626.352,3,0.2,46.9764
329,30,1,1,2,19.9,5,0.0,6.567
399,3,3,1,7,14.28,7,0.0,6.7116
187,33,1,1,2,7.408,2,0.2,1.2038
187,33,1,1,2,6.048,3,0.2,1.5876
515,28,1,1,14,46.26,3,0.0,12.0276
374,36,1,1,3,2.946,2,0.7,-2.2586
374,36,1,1,12,16.056,3,0.2,5.8203
2,33,1,1,12,21.744,3,0.2,6.795
120,4,3,0,16,218.75,2,0.5,-161.875
120,4,3,1,1,2.6,1,0.2,0.2925
109,41,0,1,1,66.284,2,0.8,-178.9668
156,40,2,0,9,35.168,7,0.2,9.6712
519,3,3,2,13,444.768,4,0.2,44.4768
423,20,0,1,14,83.92,4,0.0,5.8744
423,20,0,2,13,131.98,2,0.0,35.6346
423,20,0,1,3,15.92,4,0.0,7.4824
423,20,0,1,8,52.29,9,0.0,16.2099
423,20,0,1,14,91.99,1,0.0,3.6796
109,41,0,2,0,20.8,2,0.2,6.5
287,33,1,1,10,23.68,2,0.2,8.88
287,33,1,0,4,452.45,5,0.5,-244.323
287,33,1,2,13,62.982,3,0.4,-14.6958
287,33,1,2,11,1188.0,9,0.7,-950.4
287,33,1,2,0,89.584,2,0.2,4.4792
266,3,3,1,14,93.06,6,0.0,26.0568
266,3,3,2,13,302.376,3,0.2,22.6782
126,33,1,1,8,5.584,2,0.2,1.8148
126,33,1,1,12,22.704,6,0.2,8.2302
126,33,1,1,3,19.776,4,0.7,-13.8432
126,33,1,0,9,72.704,4,0.2,19.0848
126,33,1,2,11,479.988,4,0.7,-383.9904
126,33,1,1,2,27.168,2,0.2,2.7168
123,20,0,1,2,2.2,1,0.0,0.968
123,20,0,0,16,622.45,5,0.0,136.939
123,20,0,1,14,21.98,1,0.0,0.2198
93,40,2,0,5,161.568,2,0.2,-28.2744
93,40,2,0,5,389.696,8,0.2,43.8408
74,31,2,1,3,18.648,7,0.7,-12.432
473,8,2,0,16,233.86,2,0.45,-102.048
473,8,2,0,16,620.6145,3,0.45,-248.2458
473,8,2,1,3,5.328,2,0.7,-3.552
473,8,2,0,9,258.072,3,0.2,0.0
473,8,2,2,0,617.976,3,0.2,-7.7247
448,3,3,1,12,10.56,2,0.0,4.752
80,11,0,1,12,25.92,5,0.2,9.396
80,11,0,0,9,419.68,5,0.6,-356.728
80,11,0,0,9,11.688,3,0.6,-4.6752
80,11,0,2,13,31.984,2,0.2,11.1944
80,11,0,0,16,177.225,5,0.5,-120.513
80,11,0,0,9,4.044,3,0.6,-2.8308
80,11,0,1,2,7.408,2,0.2,1.2038
239,21,0,0,5,2001.86,7,0.0,580.5394
239,21,0,1,14,166.72,2,0.0,41.68
239,21,0,1,12,47.88,6,0.0,23.94
239,21,0,1,1,1503.25,5,0.0,496.0725
239,21,0,1,12,25.92,4,0.0,12.4416
438,3,3,0,5,321.568,2,0.2,28.1372
437,3,3,1,12,7.61,1,0.0,3.5767
437,3,3,2,0,3347.37,13,0.0,636.0003
329,30,1,1,14,80.58,6,0.0,22.5624
329,30,1,1,7,361.92,4,0.0,162.864
80,11,0,0,9,12.132,9,0.6,-8.4924
80,11,0,1,14,82.368,2,0.2,-19.5624
80,11,0,1,14,53.92,5,0.2,4.044
80,11,0,2,13,647.904,6,0.2,56.6916
329,30,1,2,0,20.37,3,0.0,6.9258
329,30,1,1,14,221.55,3,0.0,6.6465
329,30,1,1,3,17.52,5,0.2,6.132
364,41,0,1,1,1.624,2,0.8,-4.466
207,41,0,2,11,3059.982,3,0.4,-509.997
207,41,0,2,11,2519.958,7,0.4,-251.9958
80,11,0,2,13,328.224,4,0.2,28.7196
49,3,3,2,0,79.9,2,0.0,35.156
73,31,2,1,2,14.016,3,0.2,4.7304
314,28,1,1,8,7.56,6,0.0,0.3024
83,33,1,1,14,37.208,1,0.2,-7.4416
83,33,1,1,7,57.576,3,0.2,21.591
438,3,3,1,14,725.84,4,0.0,210.4936
438,3,3,2,0,209.93,7,0.0,92.3692
438,3,3,0,9,5.28,3,0.0,2.3232
438,3,3,1,3,10.92,3,0.2,4.095
212,3,3,1,12,8.82,2,0.0,4.0572
212,3,3,1,2,5.98,1,0.0,1.5548
374,36,1,1,12,11.648,2,0.2,4.0768
374,36,1,1,12,18.176,4,0.2,5.9072
374,36,1,1,14,59.712,6,0.2,5.9712
374,36,1,1,10,24.84,3,0.2,8.694
207,41,0,1,3,2.08,5,0.8,-3.432
207,41,0,2,13,1114.4,7,0.2,376.11
266,3,3,0,16,1038.84,5,0.2,51.942
389,35,3,1,12,141.76,5,0.2,47.844
389,35,3,2,0,239.8,5,0.2,47.96
389,35,3,1,12,31.104,6,0.2,10.8864
472,8,2,1,3,254.058,7,0.7,-169.372
472,8,2,1,1,194.528,2,0.2,24.316
472,8,2,1,15,961.48,5,0.2,-204.3145
94,33,1,1,8,19.096,7,0.2,6.6836
94,33,1,1,10,18.496,8,0.2,6.2424
94,33,1,2,0,255.984,2,0.2,54.3966
94,33,1,0,4,86.97,3,0.5,-48.7032
92,4,3,0,9,300.416,8,0.2,78.8592
92,4,3,0,5,230.352,3,0.2,20.1558
92,4,3,0,9,218.352,3,0.2,-24.5646
92,4,3,1,3,78.6,5,0.7,-62.88
92,4,3,1,8,27.552,3,0.2,9.2988
35,28,1,1,12,32.4,5,0.0,15.552
35,28,1,1,14,1082.48,8,0.0,10.8248
35,28,1,1,12,56.91,3,0.0,27.3168
35,28,1,0,9,77.6,4,0.0,38.024
35,28,1,1,3,14.28,1,0.0,6.5688
80,11,0,0,16,219.075,3,0.5,-131.445
329,30,1,0,9,26.8,2,0.0,12.864
474,20,0,1,2,9.84,3,0.0,2.8536
240,28,1,1,3,45.48,3,0.0,20.9208
240,28,1,1,2,289.2,6,0.0,83.868
16,44,2,1,2,4.89,1,0.0,2.0049
18,4,3,0,9,15.136,4,0.2,3.5948
18,4,3,0,5,466.768,2,0.2,52.5114
18,4,3,0,9,15.232,1,0.2,1.7136
18,4,3,1,10,6.264,3,0.2,2.0358
184,28,1,0,9,87.54,3,0.0,37.6422
429,8,2,2,13,178.384,2,0.2,22.298
429,8,2,1,12,15.552,3,0.2,5.4432
374,36,1,1,2,99.136,4,0.2,8.6744
329,30,1,0,5,135.882,1,0.1,24.1568
329,30,1,2,11,3991.98,2,0.0,1995.99
329,30,1,2,13,275.94,6,0.0,80.0226
329,30,1,2,0,360.0,4,0.0,129.6
329,30,1,1,14,43.57,1,0.0,13.071
262,3,3,1,8,7.16,2,0.0,3.58
196,3,3,1,3,251.52,6,0.2,81.744
196,3,3,2,0,99.99,1,0.0,34.9965
317,40,2,0,9,15.992,1,0.2,0.9995
374,36,1,2,13,290.898,3,0.4,-67.8762
374,36,1,1,14,54.224,2,0.2,3.389
374,36,1,0,5,786.744,4,0.3,-258.5016
374,36,1,1,10,100.24,10,0.2,33.831
374,36,1,1,3,37.764,6,0.7,-27.6936
374,36,1,2,13,82.8,2,0.4,-20.7
374,36,1,1,3,20.724,2,0.7,-13.816
374,36,1,1,3,4.896,3,0.7,-3.4272
266,3,3,1,3,4.752,1,0.2,1.6038
266,3,3,2,6,959.984,2,0.2,335.9944
266,3,3,1,3,14.368,4,0.2,4.49
438,3,3,1,3,7.712,2,0.2,2.7956
438,3,3,0,16,698.352,3,0.2,-17.4588
249,42,3,1,8,4.96,4,0.0,2.3312
374,36,1,1,2,17.856,4,0.2,1.116
374,36,1,1,3,509.97,10,0.7,-407.976
374,36,1,1,8,30.992,13,0.2,10.0724
374,36,1,2,13,71.928,12,0.4,8.3916
25,41,0,1,14,88.8,4,0.2,-2.22
438,3,3,2,13,47.976,3,0.2,4.7976
269,19,1,1,2,7.56,3,0.0,3.0996
269,19,1,1,12,24.56,2,0.0,11.5432
269,19,1,1,2,12.96,2,0.0,4.1472
329,30,1,2,0,6.79,1,0.0,2.3086
329,30,1,1,12,24.56,2,0.0,11.5432
329,30,1,1,3,3.048,1,0.2,1.0668
329,30,1,1,12,49.12,4,0.0,23.0864
329,30,1,1,3,4355.168,4,0.2,1415.4296
329,30,1,0,4,388.704,6,0.2,-4.8588
329,30,1,1,7,8.26,2,0.0,3.7996
329,30,1,1,2,17.04,4,0.0,6.9864
329,30,1,1,12,34.4,5,0.0,15.824
74,31,2,1,12,36.24,5,0.2,11.325
94,9,2,1,1,647.84,8,0.0,168.4384
94,9,2,1,10,20.7,2,0.0,9.936
329,30,1,1,10,20.7,2,0.0,9.936
329,30,1,0,5,488.646,3,0.1,86.8704
329,30,1,1,2,5.56,2,0.0,1.4456
329,30,1,0,9,47.12,8,0.0,20.7328
438,3,3,1,14,211.96,4,0.0,8.4784
274,5,1,1,3,23.2,4,0.0,10.44
274,5,1,1,15,7.36,2,0.0,0.1472
274,5,1,1,14,104.79,7,0.0,29.3412
274,5,1,0,4,1043.92,4,0.0,271.4192
189,41,0,1,12,25.92,5,0.2,9.396
189,41,0,1,14,53.424,3,0.2,4.6746
489,1,3,1,3,8.16,5,0.7,-5.712
489,1,3,2,0,1023.936,8,0.2,179.1888
489,1,3,1,2,9.24,1,0.2,0.924
489,1,3,2,0,479.04,10,0.2,-29.94
393,11,0,1,12,99.136,4,0.2,30.98
156,19,1,0,16,1488.424,7,0.3,-297.6848
207,41,0,1,1,8.652,3,0.8,-20.3322
207,41,0,1,14,23.832,3,0.2,2.6811
207,41,0,1,3,12.176,4,0.8,-18.8728
438,3,3,1,12,50.96,7,0.0,25.48
438,3,3,1,3,49.536,3,0.2,17.3376
474,20,0,2,0,41.9,2,0.0,8.799
369,8,2,0,16,375.4575,3,0.45,-157.0095
369,8,2,2,0,83.976,3,0.2,-1.0497
374,36,1,2,11,482.34,4,0.7,-337.638
374,36,1,0,9,2.96,1,0.2,0.777
83,33,1,1,2,2.624,1,0.2,0.4264
329,30,1,1,3,23.36,4,0.2,7.884
329,30,1,2,0,39.98,2,0.0,13.5932
121,45,3,2,13,246.384,2,0.2,27.7182
121,45,3,2,6,1799.97,3,0.0,701.9883
371,11,0,1,3,12.462,3,0.8,-20.5623
245,26,3,1,3,75.792,3,0.2,25.5798
504,37,1,1,14,49.96,2,0.0,9.4924
504,37,1,1,12,12.96,2,0.0,6.2208
215,20,0,1,15,70.12,4,0.0,21.036
207,41,0,1,14,35.952,3,0.2,3.5952
207,41,0,0,4,2396.2656,4,0.32,-317.1528
207,41,0,1,14,131.136,4,0.2,-32.784
207,41,0,2,0,57.584,2,0.2,0.7198
295,8,2,1,12,9.568,2,0.2,3.4684
521,31,2,1,2,39.072,6,0.2,9.768
329,30,1,1,1,35.91,3,0.0,9.6957
438,3,3,2,0,179.95,5,0.0,37.7895
438,3,3,2,6,1199.976,3,0.2,434.9913
438,3,3,1,12,27.15,5,0.0,13.3035
438,3,3,0,16,1004.024,7,0.2,-112.9527
438,3,3,1,12,9.68,1,0.0,4.6464
438,3,3,1,10,28.35,9,0.0,13.608
438,3,3,1,12,55.98,1,0.0,27.4302
438,3,3,0,4,1336.829,13,0.15,31.4548
438,3,3,0,5,113.568,2,0.2,-18.4548
452,45,3,1,12,139.86,7,0.0,65.7342
452,45,3,0,5,307.136,4,0.2,26.8744
208,3,3,1,2,95.92,8,0.0,25.8984
266,3,3,0,5,383.8,5,0.2,38.38
407,15,2,1,12,5.78,1,0.0,2.8322
266,3,3,1,2,9.32,4,0.0,2.7028
266,3,3,1,7,15.25,1,0.0,7.015
267,4,3,2,0,196.752,6,0.2,56.5662
247,19,1,0,9,56.56,4,0.0,14.7056
247,19,1,1,14,32.7,3,0.0,8.502
215,22,2,0,5,866.4,4,0.0,225.264
64,20,0,0,9,28.4,2,0.0,11.076
64,20,0,1,3,287.92,8,0.0,138.2016
328,30,1,2,11,69.99,1,0.0,30.0957
434,41,0,1,2,6.672,6,0.2,0.5004
164,31,2,1,3,189.588,2,0.7,-145.3508
164,31,2,2,0,408.744,7,0.2,76.6395
164,31,2,2,0,291.96,5,0.2,54.7425
164,31,2,1,14,4.768,2,0.2,-0.7748
269,19,1,1,14,714.3,5,0.0,207.147
216,8,2,1,3,4.812,2,0.7,-3.6892
216,8,2,2,0,247.8,5,0.2,-18.585
80,11,0,2,11,1007.979,3,0.3,43.1991
80,11,0,1,12,313.488,7,0.2,113.6394
207,41,0,1,12,31.872,8,0.2,11.5536
329,30,1,0,5,207.846,3,0.1,2.3094
123,20,0,0,9,12.22,1,0.0,3.666
123,20,0,1,14,194.94,3,0.0,23.3928
123,20,0,1,14,70.95,3,0.0,20.5755
123,20,0,1,12,91.36,4,0.0,42.0256
123,20,0,0,5,242.94,3,0.0,29.1528
123,20,0,1,10,22.05,7,0.0,10.584
94,12,0,0,9,2.91,1,0.0,1.3677
23,30,1,1,2,59.52,3,0.0,15.4752
23,30,1,1,14,161.94,3,0.0,9.7164
23,30,1,1,2,263.88,6,0.0,71.2476
23,30,1,1,2,30.48,3,0.0,7.9248
23,30,1,1,2,9.84,3,0.0,2.8536
23,30,1,2,13,35.12,4,0.0,9.1312
2,33,1,0,16,284.364,2,0.4,-75.8304
2,33,1,1,14,665.408,2,0.2,66.5408
336,34,0,2,0,63.88,4,0.0,24.9132
96,3,3,0,5,129.568,2,0.2,-24.294
116,11,0,0,5,747.558,3,0.3,-96.1146
116,11,0,1,7,8.928,2,0.2,3.348
452,45,3,1,1,103.92,4,0.0,36.372
452,45,3,2,0,899.91,9,0.0,377.9622
452,45,3,1,3,51.312,3,0.2,18.6006
375,1,3,0,9,23.56,5,0.2,7.068
375,1,3,0,16,1272.63,6,0.5,-814.4832
375,1,3,1,3,28.485,5,0.7,-20.889
375,1,3,1,15,185.376,2,0.2,-34.758
375,1,3,1,1,78.272,2,0.2,5.8704
361,11,0,0,9,254.744,7,0.6,-312.0614
8,41,0,0,4,205.3328,2,0.32,-36.2352
80,11,0,1,3,4.788,3,0.8,-7.9002
257,30,1,1,12,55.48,1,0.0,26.6304
438,3,3,1,14,340.92,3,0.0,3.4092
438,3,3,0,4,222.666,2,0.15,10.4784
438,3,3,2,13,703.968,4,0.2,87.996
438,3,3,1,14,92.52,6,0.0,24.9804
438,3,3,1,12,62.65,7,0.0,28.819
438,3,3,1,12,94.85,5,0.0,45.528
266,3,3,2,13,95.76,6,0.2,7.182
488,30,1,0,9,40.2,3,0.0,19.296
329,30,1,1,2,14.7,5,0.0,6.615
329,30,1,1,14,704.25,5,0.0,84.51
437,3,3,2,0,9.09,3,0.0,1.9089
329,30,1,1,2,5.96,2,0.0,1.6688
329,30,1,2,0,159.98,2,0.0,57.5928
266,3,3,1,10,29.6,2,0.0,14.8
266,3,3,0,4,514.165,5,0.15,-30.245
266,3,3,2,13,279.96,5,0.2,17.4975
80,11,0,2,13,2735.952,6,0.2,341.994
209,41,0,2,13,7.992,1,0.2,0.5994
209,41,0,2,0,63.984,2,0.2,10.3974
209,41,0,1,2,70.368,2,0.2,6.1572
410,30,1,1,14,449.15,5,0.0,8.983
410,30,1,1,7,11.07,3,0.0,5.0922
452,45,3,2,0,93.98,2,0.0,13.1572
289,40,2,0,16,189.882,3,0.4,-94.941
150,2,2,1,7,105.42,2,0.0,51.6558
104,3,3,1,3,119.616,8,0.2,40.3704
104,3,3,0,9,255.76,4,0.0,81.8432
104,3,3,0,5,241.568,2,0.2,18.1176
104,3,3,0,9,69.3,9,0.0,22.869
362,4,3,1,3,22.62,2,0.7,-15.08
362,4,3,1,3,14.952,2,0.7,-11.9616
362,4,3,0,5,801.568,2,0.2,50.098
362,4,3,1,3,2.376,3,0.7,-1.9008
362,4,3,1,12,32.792,1,0.2,11.8871
329,30,1,1,3,15.92,5,0.2,5.373
21,9,2,1,2,2.74,1,0.0,0.7398
21,9,2,1,2,8.34,3,0.0,2.1684
21,9,2,1,14,46.74,3,0.0,11.685
21,9,2,1,3,6354.95,5,0.0,3177.475
167,23,0,0,9,126.3,3,0.0,40.416
167,23,0,2,0,38.04,2,0.0,12.1728
330,33,1,1,2,7.152,3,0.2,0.7152
266,3,3,1,2,6.63,3,0.0,1.7901
266,3,3,1,2,5.88,2,0.0,1.7052
175,24,3,2,6,2999.95,5,0.0,1379.977
175,24,3,1,14,51.45,3,0.0,13.8915
175,24,3,1,12,11.96,2,0.0,5.382
175,24,3,1,14,1126.02,3,0.0,56.301
207,41,0,2,0,18.392,1,0.2,5.2877
207,41,0,1,14,129.568,2,0.2,-25.9136
207,41,0,1,3,14.112,9,0.8,-21.168
123,20,0,0,16,210.98,2,0.0,21.098
266,3,3,2,13,55.176,3,0.2,-12.4146
266,3,3,2,0,66.26,2,0.0,27.1666
247,19,1,1,8,22.2,5,0.0,10.434
238,8,2,0,5,683.952,3,0.2,42.747
238,8,2,0,9,45.696,3,0.2,5.1408
374,36,1,1,14,36.336,3,0.2,-7.2672
374,36,1,1,15,666.248,1,0.2,-149.9058
374,36,1,1,7,52.512,6,0.2,19.692
266,3,3,0,5,190.72,1,0.2,11.92
266,3,3,0,9,47.94,3,0.0,2.397
310,0,2,2,13,979.95,5,0.0,274.386
310,0,2,1,3,22.75,5,0.0,11.375
293,1,3,1,14,16.768,2,0.2,1.4672
80,11,0,1,3,42.616,7,0.8,-68.1856
329,30,1,1,3,10.752,4,0.2,3.36
194,15,2,1,1,152.94,3,0.0,41.2938
194,15,2,0,5,283.92,4,0.0,70.98
177,47,0,2,0,468.9,6,0.0,206.316
489,1,3,2,13,380.864,8,0.2,38.0864
464,33,1,1,14,646.776,9,0.2,-145.5246
154,41,0,2,0,58.112,2,0.2,7.264
154,41,0,2,13,100.792,1,0.2,6.2995
154,41,0,0,9,66.112,4,0.6,-84.2928
329,30,1,1,3,41.28,6,0.2,13.932
329,30,1,1,12,13.36,2,0.0,6.4128
80,11,0,1,14,250.272,9,0.2,15.642
80,11,0,1,3,11.364,3,0.8,-17.046
80,11,0,1,15,8.72,5,0.2,-1.744
438,3,3,0,5,1121.568,2,0.2,0.0
216,8,2,0,9,34.504,1,0.2,6.0382
207,41,0,1,8,10.824,3,0.2,2.5707
9,3,3,1,14,1295.78,2,0.0,310.9872
521,31,2,1,2,19.456,4,0.2,3.4048
266,3,3,1,10,20.7,2,0.0,9.936
266,3,3,0,16,1335.68,4,0.2,-217.048
